[server][info] Running client on level: ../levels/SAFirefly.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Defaulting to BFS search. Use arguments -bfs, -dfs, -astar, -wastar, or -greedy to set the search strategy.
Starting breadth-first search.
[Used: 1043.72 MB, Free: 2692.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  750,000, #Frontier:  149,617, #Generated:  899,617, Time: 7.260 s
[Used: 1084.72 MB, Free: 2651.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  760,000, #Frontier:  151,857, #Generated:  911,857, Time: 7.341 s
[Used: 1126.72 MB, Free: 2609.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  770,000, #Frontier:  153,461, #Generated:  923,461, Time: 7.432 s
[Used: 1173.72 MB, Free: 2562.28 MB, Alloc: 3736.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  780,000, #Frontier:  155,017, #Generated:  935,017, Time: 7.691 s
[Used: 962.72 MB, Free: 4099.28 MB, Alloc: 5062.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  790,000, #Frontier:  156,729, #Generated:  946,729, Time: 7.899 s
[Used: 1019.72 MB, Free: 4042.28 MB, Alloc: 5062.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  800,000, #Frontier:  158,188, #Generated:  958,188, Time: 8.001 s
[Used: 1058.72 MB, Free: 4003.28 MB, Alloc: 5062.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  810,000, #Frontier:  159,300, #Generated:  969,300, Time: 8.109 s
[Used: 1097.72 MB, Free: 3964.28 MB, Alloc: 5062.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  820,000, #Frontier:  160,788, #Generated:  980,788, Time: 8.226 s
[Used: 1135.72 MB, Free: 3926.28 MB, Alloc: 5062.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  830,000, #Frontier:  162,034, #Generated:  992,034, Time: 8.327 s
[Used: 1172.72 MB, Free: 3889.28 MB, Alloc: 5062.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  840,000, #Frontier:  162,605, #Generated: 1,002,605, Time: 8.453 s
[Used: 1211.72 MB, Free: 3850.28 MB, Alloc: 5062.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  850,000, #Frontier:  164,262, #Generated: 1,014,262, Time: 8.563 s
[Used: 1251.72 MB, Free: 3810.28 MB, Alloc: 5062.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  860,000, #Frontier:  165,127, #Generated: 1,025,127, Time: 8.675 s
[Used: 1290.72 MB, Free: 3771.28 MB, Alloc: 5062.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  870,000, #Frontier:  165,667, #Generated: 1,035,667, Time: 8.904 s
[Used: 1067.72 MB, Free: 3994.28 MB, Alloc: 5062.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  880,000, #Frontier:  166,455, #Generated: 1,046,455, Time: 8.969 s
[Used: 1106.72 MB, Free: 3955.28 MB, Alloc: 5062.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  890,000, #Frontier:  167,364, #Generated: 1,057,364, Time: 9.039 s
[Used: 1144.72 MB, Free: 3917.28 MB, Alloc: 5062.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  900,000, #Frontier:  167,296, #Generated: 1,067,296, Time: 9.101 s
[Used: 1183.72 MB, Free: 3878.28 MB, Alloc: 5062.00 MB, MaxAlloc: 8192.00 MB]
