[server][info] Running client on level: ../levels/SAfriendofBFS.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting depth-first search.
[Used: 1696.72 MB, Free: 4167.28 MB, Alloc: 5864.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,070,000, #Frontier: 1,485,593, #Generated: 2,555,593, Time: 29.013 s
[Used: 1735.72 MB, Free: 4128.28 MB, Alloc: 5864.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,080,000, #Frontier: 1,495,063, #Generated: 2,575,063, Time: 29.230 s
[Used: 1774.72 MB, Free: 4089.28 MB, Alloc: 5864.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,090,000, #Frontier: 1,504,452, #Generated: 2,594,452, Time: 29.481 s
[Used: 1813.72 MB, Free: 4050.28 MB, Alloc: 5864.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,100,000, #Frontier: 1,514,131, #Generated: 2,614,131, Time: 29.869 s
[Used: 1677.72 MB, Free: 4526.28 MB, Alloc: 6204.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,110,000, #Frontier: 1,523,487, #Generated: 2,633,487, Time: 30.168 s
[Used: 1717.72 MB, Free: 4486.28 MB, Alloc: 6204.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,120,000, #Frontier: 1,532,750, #Generated: 2,652,750, Time: 30.457 s
[Used: 1756.72 MB, Free: 4447.28 MB, Alloc: 6204.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,130,000, #Frontier: 1,541,724, #Generated: 2,671,724, Time: 30.748 s
[Used: 1795.72 MB, Free: 4408.28 MB, Alloc: 6204.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,140,000, #Frontier: 1,550,699, #Generated: 2,690,699, Time: 31.073 s
[Used: 1833.72 MB, Free: 4370.28 MB, Alloc: 6204.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,150,000, #Frontier: 1,559,208, #Generated: 2,709,208, Time: 31.406 s
[Used: 1872.72 MB, Free: 4331.28 MB, Alloc: 6204.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,160,000, #Frontier: 1,568,794, #Generated: 2,728,794, Time: 31.719 s
[Used: 1911.72 MB, Free: 4292.28 MB, Alloc: 6204.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,170,000, #Frontier: 1,577,928, #Generated: 2,747,928, Time: 32.650 s
[Used: 1780.72 MB, Free: 4423.28 MB, Alloc: 6204.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,180,000, #Frontier: 1,587,522, #Generated: 2,767,522, Time: 32.904 s
[Used: 1819.72 MB, Free: 4384.28 MB, Alloc: 6204.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,190,000, #Frontier: 1,596,845, #Generated: 2,786,845, Time: 33.182 s
[Used: 1858.72 MB, Free: 4345.28 MB, Alloc: 6204.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,200,000, #Frontier: 1,605,219, #Generated: 2,805,219, Time: 33.456 s
[Used: 1896.72 MB, Free: 4307.28 MB, Alloc: 6204.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,210,000, #Frontier: 1,614,211, #Generated: 2,824,211, Time: 33.691 s
[Used: 1936.72 MB, Free: 4267.28 MB, Alloc: 6204.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,220,000, #Frontier: 1,622,644, #Generated: 2,842,644, Time: 33.913 s
[Used: 1974.72 MB, Free: 4229.28 MB, Alloc: 6204.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,230,000, #Frontier: 1,631,336, #Generated: 2,861,336, Time: 34.136 s
[Used: 2013.72 MB, Free: 4190.28 MB, Alloc: 6204.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,240,000, #Frontier: 1,639,791, #Generated: 2,879,791, Time: 34.622 s
[Used: 1862.72 MB, Free: 4341.28 MB, Alloc: 6204.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,250,000, #Frontier: 1,648,991, #Generated: 2,898,991, Time: 34.881 s
[Used: 1901.72 MB, Free: 4302.28 MB, Alloc: 6204.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,260,000, #Frontier: 1,657,479, #Generated: 2,917,479, Time: 35.078 s
[Used: 1940.72 MB, Free: 4263.28 MB, Alloc: 6204.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,270,000, #Frontier: 1,666,460, #Generated: 2,936,460, Time: 35.321 s
[Used: 1979.72 MB, Free: 4224.28 MB, Alloc: 6204.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,279,418, #Frontier: 1,674,568, #Generated: 2,953,986, Time: 35.552 s
[Used: 2015.72 MB, Free: 4188.28 MB, Alloc: 6204.00 MB, MaxAlloc: 8192.00 MB]
Found solution of length 981528.
[client][info] Waiting for client process to terminate by itself.
[client][info] Client terminated.
[server][info] Level solved: Yes.
[server][info] Actions used: 981528.
[server][info] Last action time: 70.999 seconds.
